"ID","Status","Assertion","Comment"
"td-vocab-op--Form_unsubscribeevent","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-op--Form_writeallproperties","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of readallproperties, writeallproperties, readmultipleproperties or writemultipleproperties.",
"td-vocab-op--Form_writemultipleproperties","null","When a forms term member is present in a Thing instance, the value(s) of op in the forms MUST be one of writemultipleproperties.",
"td-vocab-op--Form_writeproperty","null","op: Indicates the expected result of performing the operation described by the form. For example, the Property interaction allows get and set operations. The protocol binding may contain a form for the get operation and a different form for the set operation. The op attribute indicates which form is which and allows the client to select the correct form for the operation required.",
"td-vocab-output--ActionAffordance","null","output: Used to define the output data schema of the action.",
"td-vocab-pattern--StringSchema","null","pattern: Provides a regular expressions to express constraints of the string value. The regular expression must follow the [[ECMA-262]] dialect. MAY be included. Type: string.",
"td-vocab-profile--Thing","null","profile: Indicates the WoT Profile mechanisms followed by this Thing Description and the corresponding Thing implementation. MAY be included. Type: anyURI or Array of anyURI.",
"td-vocab-properties--ObjectSchema","null","properties: Data schema nested $defs. MAY be included. Type: DataSchema.",
"td-vocab-properties--Thing","null","Properties (and sub-properties) offered by a Thing MUST be collected in the JSON-object based properties member with (unique) Property names as JSON names. (Checking their existence)",
"td-vocab-proxy--SecurityScheme","null","proxy: URI of the proxy server this security configuration provides access to. If not given, the corresponding security configuration is for the endpoint. MAY be included. Type: anyURI.",
"td-vocab-qop--DigestSecurityScheme","null","qop: Quality of protection (one of auth or auth-int). MUST be included. Type: string.",
"td-vocab-readOnly--DataSchema","null","readOnly: Boolean value that indicates whether a property interaction / value is read only (=true) or not (=false). MUST be included. Type: boolean.",
"td-vocab-refresh--OAuth2SecurityScheme","null","refresh: URI of the refresh server. MAY be included. Type: anyURI.",
"td-vocab-rel--Link","null","rel: Indicates the relation to an other Thing.",
"td-vocab-required--ObjectSchema","null","required: Defines which members of the object type are mandatory. MAY be included. Type: array of string.",
"td-vocab-response--Form","null","response: This optional term can be used if, e.g., the output communication metadata differ from input metdata (e.g., output contentType differ from the input contentType). The response name contains metadata that is only valid for the reponse messages.",
"td-vocab-safe--ActionAffordance","null","safe: Signals if the action is safe (=true) or not. Used to signal if there is no internal state (cf. resource state) is changed when invoking an Action. In that case responses can be cached as example.",
"td-vocab-schema--AdditionalExpectedResponse","null","success: Signals if an additional response should not be considered an error.",
"td-vocab-schemaDefinitions--Thing","null","schemaDefinitions: Set of named data schemas. To be used in a schema name-value pair inside an AdditionalExpectedResponse object. MAY be included. Type: Map of DataSchema.",
"td-vocab-scheme--SecurityScheme","null","",
"td-vocab-scheme--SecurityScheme_apikey","null","scheme: Identification of security mechanism being configured. MUST be included. Type: string apikey.",
"td-vocab-scheme--SecurityScheme_auto","null","scheme: Identification of security mechanism being configured. MUST be included. Type: string auto.",
"td-vocab-scheme--SecurityScheme_basic","null","scheme: Identification of security mechanism being configured. MUST be included. Type: string basic.",
"td-vocab-scheme--SecurityScheme_bearer","null","scheme: Identification of security mechanism being configured. MUST be included. Type: string bearer.",
"td-vocab-scheme--SecurityScheme_digest","null","scheme: Identification of security mechanism being configured. MUST be included. Type: string digest.",
"td-vocab-scheme--SecurityScheme_nosec","null","scheme: Identification of security mechanism being configured. MUST be included. Type: string nosec.",
"td-vocab-scheme--SecurityScheme_oauth2","null","scheme: Identification of security mechanism being configured. MUST be included. Type: string oauth2.",
"td-vocab-scheme--SecurityScheme_psk","null","scheme: Identification of security mechanism being configured. MUST be included. Type: string psk.",
"td-vocab-scopes--Form","null","scopes: Set of authorization scope identifiers, provided as an array. These are provided in tokens returned by an authorization server and associated with forms in order to identify what resources a client may access and how.",
"td-vocab-scopes--OAuth2SecurityScheme","null","scopes: Set of authorization scope identifiers, provided as an array. These are provided in tokens returned by an authorization server and associated with forms in order to identify what resources a client may access and how.",
"td-vocab-security--Form","null","security: Set of security definition names, chosen from those defined in securityDefinitions. These must all be satisfied for access to resources at or below the current level, if not overridden at a lower level. MAY be included. Type: array of string.",
"td-vocab-security--Thing","null","",
"td-vocab-securityDefinitions--Thing","null","",
"td-vocab-sizes--Link","null",". The value pattern follows {Height}x{Width} (e.g.",
"td-vocab-subprotocol--Form","null","subprotocol: Indicates the exact mechanism by which an interaction will be accomplished for a given protocol when there are multiple options. For example, for HTTP and Events, it indicates which of several available mechanisms should be used for asynchronous notifications such as long polling (longpoll), WebSub [websub] (websub), Server-Sent Events (sse) [html] (also known as EventSource). Please note that there is no restriction on the subprotocol selection and other mechanisms can also be announced by this subprotocol term.",
"td-vocab-subscription--EventAffordance","null","subscription: Defines data that needs to be passed upon subscription, e.g., filters or message format for setting up Webhooks.",
"td-vocab-success--AdditionalExpectedResponse","null","success: Signals if an additional response should not be considered an error.",
"td-vocab-support--Thing","null","support: Provides information about the TD maintainer (e.g., author, link or telephone number to get support, etc).",
"td-vocab-synchronous--ActionAffordance","null","synchronous: Indicates whether the action is synchronous (=true) or not. A synchronous action means that the response of action contains all the information about the result of the action and no further querying about the status of the action is needed. Lack of this keyword means that no claim on the synchronicity of the action can be made. Type: boolean",
"td-vocab-title--DataSchema","null","title: Provides a human-readable title (e.g., display a text for UI representation) of the interaction pattern based on a default language. MAY be included. Type: string.",
"td-vocab-title--InteractionAffordance","null","title: Provides a human-readable title (e.g., display a text for UI representation) of the interaction pattern based on a default language. MAY be included. Type: string.",
"td-vocab-title--Thing","null","",
"td-vocab-titles--DataSchema","null","titles: Provides multi-language human-readable titles (e.g., display a text for UI representation in different languages) of the interaction pattern. MAY be included. Type: MultiLanguage.",
"td-vocab-titles--InteractionAffordance","null","titles: Provides multi-language human-readable titles (e.g., display a text for UI representation in different languages) of the interaction pattern. MAY be included. Type: MultiLanguage.",
"td-vocab-titles--Thing","null","titles: Provides multi-language human-readable titles (e.g., display a text for UI representation in different languages). MAY be included. Type: MultiLanguage.",
"td-vocab-token--OAuth2SecurityScheme","null","token: URI of the token server. MAY be included. Type: anyURI.",
"td-vocab-type--DataSchema","null","",
"td-vocab-type--DataSchema_array","null","type: Assignment of JSON-based data types compatible with JSON Schema (one of boolean, integer, number, string, object, array, or null). MAY be included. Type: string array).",
"td-vocab-type--DataSchema_boolean","null","type: Assignment of JSON-based data types compatible with JSON Schema (one of boolean, integer, number, string, object, array, or null). MAY be included. Type: string boolean).",
"td-vocab-type--DataSchema_integer","null","type: Assignment of JSON-based data types compatible with JSON Schema (one of boolean, integer, number, string, object, array, or null). MAY be included. Type: string integer).",
"td-vocab-type--DataSchema_null","null","type: Assignment of JSON-based data types compatible with JSON Schema (one of boolean, integer, number, string, object, array, or null). MAY be included. Type: string null).",
"td-vocab-type--DataSchema_number","null","type: Assignment of JSON-based data types compatible with JSON Schema (one of boolean, integer, number, string, object, array, or null). MAY be included. Type: string number).",
"td-vocab-type--DataSchema_object","null","type: Assignment of JSON-based data types compatible with JSON Schema (one of boolean, integer, number, string, object, array, or null). MAY be included. Type: string object).",
"td-vocab-type--DataSchema_string","null","type: Assignment of JSON-based data types compatible with JSON Schema (one of boolean, integer, number, string, object, array, or null). MAY be included. Type: string string).",
"td-vocab-type--Link","null","Provides a hint indicating what the media type [MEDIATYPES] of the result of dereferencing the link should be.",
"td-vocab-unit--DataSchema","null","unit: Provides unit information that is used, e.g., in international science, engineering, and business. MAY be included. Type: string.",
"td-vocab-uriVariables--InteractionAffordance","null","uriVariables: Define URI template variables as collection based on DataSchema declarations.",
"td-vocab-uriVariables--Thing","null","forms: Indicates one or more endpoints at which operation(s) on this resource are accessible. In this version of TD, all operations that can be described at the Thing level are concerning how to interact with the Thing's Property interaction resources collectively at once. MAY be included. Type: array of Form.",
"td-vocab-version--Thing","null","The version container MAY be used to provide additional application and/or device specific version information based on terms from non-TD namespaces.",
"td-vocab-writeOnly--DataSchema","null","writeOnly: Boolean value that indicates whether a property interaction / value is write only (=true) or not (=false). MUST be included. Type: boolean.",
"tm-compose-name-collision","null","",
"tm-rel-type-maximum","null","",
"tm-versioning","null","model: Provides a version indicator of the underlying TM. instance. MAY be included. Type: string.",
"well-known-operation-types-only","null","",
"tm-compose-instanceName","null","",
"tm-compose-submodel","null","",
"tm-context-requirement","null","",
"tm-extend","null","",
"tm-identification","null","",
"tm-placeholder","null","",
"tm-placeholder-retyping","null","",
"tm-placeholder-usecase","null","",
"tm-placeholder-value","null","",
"tm-protocol-security-restriction","null","",
"tm-td-generation-inconsistencies","null","",
"tm-tmRef-usecase","null","",
"tm-tmRef1","null","",
"tm-tmRequired","null","",
"tm-tmRequired-JSONPointer","null","",
"tm-tmRequired-array","null","",
